Label,xrot,yrot,zrot,site,x,y,z
0,0.0,0.0,0.0,0 ontop_O,6.814,3.934,2.000
1,0.0,0.0,0.0,1 bridge_5.28,4.177,3.934,2.000
2,0.0,0.0,0.0,2 bridge_5.28,2.858,1.650,2.000
3,0.0,0.0,0.0,3 bridge_5.28,5.495,1.650,2.000
4,0.0,0.0,0.0,4 hollow_c3,4.177,2.411,2.000
5,0.0,0.0,0.0,5 hollow_c3,9.452,5.457,2.000
6,90.0,0.0,0.0,0 ontop_O,6.814,3.934,2.000
7,90.0,0.0,0.0,1 bridge_5.28,4.177,3.934,2.000
8,90.0,0.0,0.0,2 bridge_5.28,2.858,1.650,2.000
9,90.0,0.0,0.0,3 bridge_5.28,5.495,1.650,2.000
10,90.0,0.0,0.0,4 hollow_c3,4.177,2.411,2.000
11,90.0,0.0,0.0,5 hollow_c3,9.452,5.457,2.000
